UID,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,buy
UID1,57,admin.,divorced,secondary,no,658,no,no,cellular,10,jul,724,1,-1,0,unknown,1
UID2,37,unknown,married,unknown,no,1699,no,no,unknown,9,jun,63,1,-1,0,unknown,0
UID3,35,technician,divorced,secondary,no,2823,yes,no,cellular,2,jun,102,4,96,2,failure,0
UID4,35,admin.,married,secondary,no,214,yes,yes,unknown,5,jun,247,1,-1,0,unknown,0
UID5,38,services,single,tertiary,no,323,yes,no,unknown,19,may,138,1,-1,0,unknown,0
UID6,30,management,single,tertiary,no,57,yes,no,cellular,4,feb,153,2,-1,0,unknown,0
UID7,39,blue-collar,married,primary,no,643,no,yes,cellular,28,jul,24,14,-1,0,unknown,0
UID8,40,technician,single,tertiary,no,47,yes,no,cellular,5,may,159,1,365,1,failure,0
UID9,41,technician,married,tertiary,no,-762,yes,yes,unknown,23,may,145,1,-1,0,unknown,0
UID10,52,technician,married,secondary,no,945,no,no,unknown,20,jun,16,8,-1,0,unknown,0
UID11,34,blue-collar,married,secondary,no,622,yes,no,unknown,21,may,145,1,-1,0,unknown,0
UID12,31,management,married,tertiary,no,0,no,no,cellular,11,aug,84,2,-1,0,unknown,0
UID13,34,management,married,tertiary,no,8000,no,no,cellular,12,feb,291,1,260,2,failure,1
UID14,58,admin.,divorced,secondary,no,1713,no,no,unknown,15,may,544,2,-1,0,unknown,0
UID15,28,admin.,single,tertiary,no,14,no,no,cellular,1,jun,201,1,-1,0,unknown,0
UID16,53,entrepreneur,married,tertiary,no,1961,no,no,cellular,18,jun,91,2,185,1,success,0
UID17,29,admin.,single,secondary,no,-53,yes,no,unknown,9,may,108,2,-1,0,unknown,0
UID18,56,management,divorced,primary,no,7496,no,no,unknown,9,jun,164,3,-1,0,unknown,0
UID19,34,services,married,secondary,no,254,yes,no,cellular,28,jul,276,2,-1,0,unknown,0
UID20,36,self-employed,single,primary,no,235,yes,no,unknown,29,may,141,9,-1,0,unknown,0
UID21,37,technician,married,tertiary,no,143,no,no,cellular,27,aug,57,6,-1,0,unknown,0
UID22,34,management,married,tertiary,no,1725,yes,yes,cellular,28,jul,164,7,-1,0,unknown,0
UID23,47,services,married,secondary,no,137,no,no,unknown,12,jun,112,1,-1,0,unknown,0
UID24,43,technician,single,secondary,no,140,yes,no,cellular,13,aug,221,2,-1,0,unknown,0
UID25,31,technician,single,secondary,no,656,yes,no,cellular,7,may,158,1,275,1,other,0
UID26,51,management,married,tertiary,no,9796,no,yes,unknown,6,jun,110,1,-1,0,unknown,0
UID27,26,admin.,single,tertiary,no,2532,yes,yes,cellular,18,feb,269,1,-1,0,unknown,1
UID28,48,admin.,divorced,secondary,no,771,yes,no,unknown,2,jun,133,1,-1,0,unknown,0
UID29,32,technician,married,secondary,no,0,no,no,cellular,21,aug,120,3,-1,0,unknown,0
UID30,38,technician,married,secondary,no,821,yes,yes,cellular,17,nov,224,2,180,1,failure,0
UID31,27,technician,single,secondary,no,439,yes,no,cellular,15,apr,1038,2,-1,0,unknown,1
UID32,44,self-employed,married,tertiary,no,1196,no,no,cellular,20,aug,552,5,-1,0,unknown,1
UID33,24,admin.,single,tertiary,no,0,yes,no,cellular,7,sep,89,1,103,2,success,0
UID34,38,admin.,single,unknown,no,446,yes,no,unknown,13,may,386,1,-1,0,unknown,0
UID35,32,student,single,tertiary,no,290,yes,no,cellular,5,may,18,6,-1,0,unknown,0
UID36,37,management,married,tertiary,no,115,no,no,unknown,7,may,36,1,-1,0,unknown,0
UID37,48,blue-collar,single,secondary,no,44,yes,no,unknown,6,may,153,1,-1,0,unknown,0
UID38,46,technician,married,secondary,no,488,no,no,unknown,5,jun,92,1,-1,0,unknown,0
UID39,54,blue-collar,married,secondary,no,506,yes,no,cellular,18,nov,172,2,104,2,failure,0
UID40,42,management,married,tertiary,no,2819,yes,no,cellular,18,nov,149,2,-1,0,unknown,0
UID41,30,unemployed,single,secondary,no,40,no,no,cellular,5,feb,133,1,-1,0,unknown,0
UID42,29,blue-collar,single,secondary,no,223,no,no,cellular,24,jul,1259,1,-1,0,unknown,0
UID43,26,technician,single,tertiary,no,515,no,no,cellular,31,may,775,1,-1,0,unknown,1
UID44,31,management,single,tertiary,no,1308,no,no,cellular,22,aug,323,3,-1,0,unknown,0
UID45,36,technician,single,secondary,yes,12,no,no,cellular,12,aug,587,2,-1,0,unknown,1
UID46,32,self-employed,married,tertiary,no,1423,no,no,cellular,6,aug,1249,4,-1,0,unknown,1
UID47,47,entrepreneur,married,tertiary,no,0,no,no,telephone,18,nov,103,2,-1,0,unknown,0
UID48,42,technician,married,unknown,no,0,no,no,unknown,11,jun,241,1,-1,0,unknown,0
UID49,41,management,divorced,tertiary,no,647,yes,no,unknown,16,may,270,1,-1,0,unknown,0
UID50,50,management,married,tertiary,no,5794,no,no,cellular,19,nov,625,1,-1,0,unknown,0
UID51,30,management,married,tertiary,no,1235,no,no,cellular,28,jan,119,2,-1,0,unknown,0
UID52,30,services,married,secondary,no,0,yes,no,cellular,7,may,512,1,-1,0,unknown,0
UID53,34,services,married,secondary,no,244,no,no,cellular,4,feb,696,2,-1,0,unknown,0
UID54,41,technician,married,secondary,no,563,yes,no,cellular,13,aug,69,4,-1,0,unknown,0
UID55,34,management,single,primary,no,212,no,no,unknown,27,may,88,1,-1,0,unknown,0
